INDEX,LOAD,WIND,SOLAR,RESIDUAL,SOC
244,41.252,72.902,0,-31.65,4005.629
245,46.463,74.064,0,-27.601,4033.23
246,48.415,69.587,0,-21.172,4054.402
247,49.698,69.692,0.116,-20.11,4074.512
248,50.549,66.165,0.806,-16.422,4090.934
249,51.591,70.391,2.162,-20.962,4111.896
250,51.764,73.507,3.348,-25.091,4136.987
251,50.971,74.636,4.738,-28.403,4165.39
252,50.516,73.836,4.764,-28.084,4193.474
253,50.592,72.923,3.79,-26.121,4219.595
254,54.491,69.935,1.511,-16.955,4236.55
255,57.593,69.144,0.022,-11.573,4248.123
256,59.332,69.78,0,-10.448,4258.571
257,58.085,70.667,0,-12.582,4271.153
258,56.674,72.158,0,-15.484,4286.637
259,54.047,74.322,0,-20.275,4306.912
260,50.238,74.456,0,-24.218,4331.13
261,46.974,74.806,0,-27.832,4358.962
262,44.341,74.817,0,-30.476,4389.438
263,42.777,73.723,0,-30.946,4420.384
264,40.541,72.831,0,-32.29,4452.674
265,39.183,72.228,0,-33.045,4485.719
266,37.336,71.516,0,-34.18,4519.899
267,35.225,71.712,0,-36.487,4556.386
268,38.645,73.458,0,-34.813,4591.199
269,43.825,74.995,0,-31.17,4622.369
270,45.79,76.202,0,-30.412,4652.781
271,47.119,76.626,0.233,-29.74,4682.521
272,48.009,77.248,1.227,-30.466,4712.987
273,49.053,76.793,2.259,-29.999,4742.986
274,49.237,74.984,2.837,-28.584,4771.57
275,48.461,73.168,3.041,-27.748,4799.318
276,47.988,73.633,2.957,-28.602,4827.92
277,48.045,73.284,2.096,-27.335,4855.255
278,51.907,73.756,0.821,-22.67,4877.925
279,54.996,73.804,0.011,-18.819,4896.744
280,56.752,73.671,0,-16.919,4913.663
281,55.516,74.067,0,-18.551,4932.214
282,54.111,74.558,0,-20.447,4952.661
283,51.509,74.728,0,-23.219,4975.88
284,47.79,74.304,0,-26.514,5002.394
285,44.629,75.255,0,-30.626,5033.02
286,41.013,74.249,0,-33.236,5066.256
287,37.844,71.887,0,-34.043,5100.299
288,34.686,68.48,0,-33.794,5134.093
289,30.159,63.116,0,-32.957,5167.05
290,29.013,57.007,0,-27.994,5195.044
291,29.991,51.276,0,-21.285,5216.329
292,34.815,48.907,0,-14.092,5230.421
293,40.67,51.533,0,-10.863,5241.284
294,44.606,57.929,0,-13.323,5254.607
295,46.577,63.893,0.243,-17.559,5272.166
296,47.112,68.342,1.271,-22.501,5294.667
297,47.156,72.33,2.193,-27.367,5322.034
298,47.018,74.285,3.295,-30.562,5352.596
299,46.411,75.309,3.306,-32.204,5384.8
300,46.122,76.023,2.957,-32.858,5417.658
301,46.203,76.55,1.995,-32.342,5450
302,48.745,77.252,0.78,-29.287,5479.287
303,51.485,77.497,0.017,-26.029,5505.316
304,52.171,76.913,0,-24.742,5530.058
305,52.183,76.685,0,-24.502,5554.56
306,51.035,76.739,0,-25.704,5580.264
307,49.659,76.499,0,-26.84,5607.104
308,46.515,76.525,0,-30.01,5637.114
309,42.619,76.589,0,-33.97,5671.084
310,42.824,75.059,0,-32.235,5703.319
311,39.703,73.809,0,-34.106,5737.425
312,36.592,71.83,0,-35.238,5772.663
313,32.142,69.296,0,-37.154,5809.817
314,31.047,67.834,0,-36.787,5846.604
315,32.215,67.478,0,-35.263,5881.867
316,37.298,67.451,0,-30.153,5912.02
317,43.234,67.181,0,-23.947,5935.967
318,47.142,67.628,0,-20.486,5956.453
319,48.984,67.83,0.735,-19.581,5976.034
320,49.426,66.329,3.637,-20.54,5996.574
321,49.453,67.534,6.552,-24.633,6021.207
322,49.29,68.471,8.33,-27.511,6048.718
323,48.645,69.637,8.608,-29.6,6078.318
324,48.398,69.731,7.587,-28.92,6107.238
325,48.534,69.799,5.157,-26.422,6133.66
326,51.173,69.33,1.893,-20.05,6153.71
327,53.945,69.261,0.042,-15.358,6169.068
328,54.589,69.731,0,-15.142,6184.21
329,54.574,70.314,0,-15.74,6199.95
330,53.411,71.087,0,-17.676,6217.626
331,51.97,71.723,0,-19.753,6237.379
332,48.596,71.614,0,-23.018,6260.397
333,44.425,71.12,0,-26.695,6287.092
334,46.152,70.471,0,-24.319,6311.411
335,44.615,70.954,0,-26.339,6337.75
336,42.412,70.889,0,-28.477,6366.227
337,41.104,71.091,0,-29.987,6396.214
338,39.29,71.711,0,-32.421,6428.635
339,37.298,71.235,0,-33.937,6462.572
340,40.884,70.477,0,-29.593,6492.165
341,46.119,70.118,0,-23.999,6516.164
342,48.058,70.643,0,-22.585,6538.749
343,49.305,71.36,0.667,-22.722,6561.471
344,50.133,72.35,3.165,-25.382,6586.853
345,51.166,71.985,5.822,-26.641,6613.494
346,51.337,71.759,7.032,-27.454,6640.948
347,50.533,72.199,6.951,-28.617,6669.565
348,50.088,73.004,5.343,-28.259,6697.824
349,50.181,73.409,2.799,-26.027,6723.851
350,54.108,74.244,0.935,-21.071,6744.922
351,57.221,75.315,0.023,-18.117,6763.039
352,58.95,75.387,0,-16.437,6779.476
353,57.698,74.419,0,-16.721,6796.197
354,56.287,71.633,0,-15.346,6811.543
355,53.642,68.835,0,-15.193,6826.736
356,49.771,67.46,0,-17.689,6844.425
357,46.432,63.914,0,-17.482,6861.907
358,48.44,60.808,0,-12.368,6874.275
359,46.909,56.758,0,-9.849,6884.124
360,44.706,52.232,0,-7.526,6891.65
361,43.41,48.657,0,-5.247,6896.897
362,41.6,45.159,0,-3.559,6900.456
363,39.621,41.188,0,-1.567,6902.023
364,43.225,36.736,0,6.489,6895.534
365,48.466,32.477,0,15.989,6879.545
366,50.407,29.342,0,21.065,6858.48
367,51.64,27.102,0.237,24.301,6834.179
368,52.46,26.184,1.121,25.155,6809.024
369,53.493,23.826,2.218,27.449,6781.575
370,53.662,20.902,3.12,29.64,6751.935
371,52.856,19.058,3.255,30.543,6721.392
372,52.413,17.955,2.956,31.502,6689.89
373,52.51,18.305,2.157,32.048,6657.842
374,56.447,20.098,0.914,35.435,6622.407
375,59.561,22.605,0.028,36.928,6585.479
376,61.288,25.107,0,36.181,6549.298
377,60.033,29.853,0,30.18,6519.118
378,58.624,35.634,0,22.99,6496.128
379,55.973,43.471,0,12.502,6483.626
380,52.084,48.809,0,3.275,6480.351
381,48.723,53.996,0,-5.273,6485.624
382,48.38,58.292,0,-9.912,6495.536
383,46.849,60.733,0,-13.884,6509.42
384,44.65,62.003,0,-17.353,6526.773
385,43.354,63.357,0,-20.003,6546.776
386,41.546,64.694,0,-23.148,6569.924
387,39.57,66.961,0,-27.391,6597.315
388,43.178,69.141,0,-25.963,6623.278
389,48.421,69.493,0,-21.072,6644.35
390,50.36,69.575,0,-19.215,6663.565
391,51.592,70.042,0.21,-18.66,6682.225
392,52.409,70.936,1.442,-19.969,6702.194
393,53.442,71.098,3.173,-20.829,6723.023
394,53.609,70.028,4.532,-20.951,6743.974
395,52.803,70.35,5.568,-23.115,6767.089
396,52.362,72.176,5.719,-25.533,6792.622
397,52.458,73.021,4.141,-24.704,6817.326
398,56.398,72.81,1.751,-18.163,6835.489
399,59.513,72.508,0.07,-13.065,6848.554
400,61.239,71.607,0,-10.368,6858.922
401,59.989,71.726,0,-11.737,6870.659
402,58.573,71.863,0,-13.29,6883.949
403,55.928,71.839,0,-15.911,6899.86
404,52.029,71.818,0,-19.789,6919.649
405,48.66,70.536,0,-21.876,6941.525
406,47.392,68.557,0,-21.165,6962.69
407,45.842,65.497,0,-19.655,6982.345
408,43.626,61.279,0,-17.653,6999.998
409,42.297,59.362,0,-17.065,7017.063
410,40.467,57.582,0,-17.115,7034.178
411,38.417,56.564,0,-18.147,7052.325
412,41.926,56.632,0,-14.706,7067.031
413,47.139,51.787,0,-4.648,7071.679
414,49.086,45.533,0,3.553,7068.126
415,50.366,40.7,0.141,9.525,7058.601
416,51.221,37.348,0.745,13.128,7045.473
417,52.261,30.29,2.229,19.742,7025.731
418,52.437,35.964,3.962,12.511,7013.22
419,51.643,41.22,4.921,5.502,7007.718
420,51.188,44.447,5.86,0.881,7006.837
421,51.262,44.917,4.156,2.189,7004.648
422,55.166,45.577,1.732,7.857,6996.791
423,58.269,48.373,0.094,9.802,6986.989
424,60.014,53.465,0,6.549,6980.44
425,58.771,57.419,0,1.352,6979.088
426,57.365,63.03,0,-5.665,6984.753
427,54.744,64.763,0,-10.019,6994.772
428,50.938,66.271,0,-15.333,7010.105
429,47.676,66.686,0,-19.01,7029.115
430,45.162,66.996,0,-21.834,7050.949
431,43.594,67.049,0,-23.455,7074.404
432,41.355,67.756,0,-26.401,7100.805
433,39.995,67.804,0,-27.809,7128.614
434,38.141,67.837,0,-29.696,7158.31
435,36.018,67.502,0,-31.484,7189.794
436,39.421,67.346,0,-27.925,7217.719
437,44.601,66.98,0,-22.379,7240.098
438,46.56,66.574,0,-20.014,7260.112
439,47.892,65.781,0.876,-18.765,7278.877
440,48.785,62.468,3.903,-17.586,7296.463
441,49.829,60.616,6.765,-17.552,7314.015
442,50.017,58.539,8.498,-17.02,7331.035
443,49.238,57.189,7.691,-15.642,7346.677
444,48.765,55.151,6.229,-12.615,7359.292
445,48.815,52.298,4.048,-7.531,7366.823
446,52.684,49.747,1.393,1.544,7365.279
447,55.775,51.248,0.041,4.486,7360.793
448,57.538,53.183,0,4.355,7356.438
449,56.304,55.024,0,1.28,7355.158
450,54.907,58.266,0,-3.359,7358.517
451,52.31,61.683,0,-9.373,7367.89
452,48.598,64.849,0,-16.251,7384.141
453,45.447,65.573,0,-20.126,7404.267
454,42.705,66.785,0,-24.08,7428.347
455,39.553,68.262,0,-28.709,7457.056
456,36.409,70.687,0,-34.278,7491.334
457,31.903,72.197,0,-40.294,7531.628
458,30.779,73.14,0,-42.361,7573.989
459,31.839,73.463,0,-41.624,7615.613
460,36.78,73.206,0,-36.426,7652.039
461,42.673,73.338,0,-30.665,7682.704
462,46.601,73.74,0,-27.139,7709.843
463,48.515,73.424,0.475,-25.384,7735.227
464,49.009,73.117,3.259,-27.367,7762.594
465,49.045,71.913,6.888,-29.756,7792.35
466,48.892,71.572,9.362,-32.042,7824.392
467,48.268,72.857,10.071,-34.66,7859.052
468,47.998,72.324,8.76,-33.086,7892.138
469,48.101,73.361,5.89,-31.15,7923.288
470,50.687,72.328,2.527,-24.168,7947.456
471,53.446,71.511,0.152,-18.217,7965.673
472,54.112,71.136,0,-17.024,7982.697
473,54.122,70.472,0,-16.35,7999.047
474,52.971,69.436,0,-16.465,8015.512
475,51.575,67.032,0,-15.457,8030.969
476,48.332,64.1,0,-15.768,8046.737
477,44.312,62.511,0,-18.199,8064.936
478,44.742,63.021,0,-18.279,8083.215
479,41.638,64.614,0,-22.976,8106.191
480,38.54,65.434,0,-26.894,8133.085
481,34.117,66.08,0,-31.963,8165.048
482,33.044,66.136,0,-33.092,8198.14
483,34.296,65.174,0,-30.878,8229.018
484,39.491,64.909,0,-25.418,8254.436
485,45.47,64.196,0,-18.726,8273.162
486,49.37,63.139,0,-13.769,8286.931
487,51.153,62.046,1.016,-11.909,8298.84
488,51.551,59.007,3.991,-11.447,8310.287
489,51.569,57.797,7.064,-13.292,8323.579
490,51.393,57.873,8.995,-15.475,8339.054
491,50.73,57.857,9.044,-16.171,8355.225
492,50.503,57.079,8.122,-14.698,8369.923
493,50.665,56.368,5.715,-11.418,8381.341
494,53.346,54.419,2.484,-3.557,8384.898
495,56.134,52.748,0.181,3.205,8381.693
496,56.761,51.835,0,4.926,8376.767
497,56.74,51.189,0,5.551,8371.216
498,55.576,50.395,0,5.181,8366.035
499,54.118,49.627,0,4.491,8361.544
500,50.638,47.668,0,2.97,8358.574
501,46.345,45.863,0,0.482,8358.092
502,51.35,45.599,0,5.751,8352.341
503,49.888,46.231,0,3.657,8348.684
504,47.761,46.931,0,0.83,8347.854
505,46.587,48.472,0,-1.885,8349.739
506,44.848,50.211,0,-5.363,8355.102
507,43.148,52.818,0,-9.67,8364.772
508,47.129,55.133,0,-8.004,8372.776
509,52.496,56.957,0,-4.461,8377.237
510,54.388,58.05,0,-3.662,8380.899
511,55.43,58.685,1.01,-4.265,8385.164
512,56.105,59.062,4.255,-7.212,8392.376
513,57.119,56.739,7.216,-6.836,8399.212
514,57.251,56.262,9.33,-8.341,8407.553
515,56.382,55.998,9.993,-9.609,8417.162
516,56.007,55.248,8.543,-7.784,8424.946
517,56.187,53.93,6.212,-3.955,8428.901
518,60.27,51.807,2.924,5.539,8423.362
519,63.435,50.034,0.235,13.166,8410.196
520,65.099,49.531,0,15.568,8394.628
521,63.804,49.393,0,14.411,8380.217
522,62.376,48.784,0,13.592,8366.625
523,59.629,47.981,0,11.648,8354.977
524,55.386,47.777,0,7.609,8347.368
525,51.62,45.706,0,5.914,8341.454
526,53.582,45.578,0,8.004,8333.45
527,52.15,46.069,0,6.081,8327.369
528,50.05,47.171,0,2.879,8324.49
529,48.925,47.54,0,1.385,8323.105
530,47.218,49.335,0,-2.117,8325.222
531,45.628,50.439,0,-4.811,8330.033
532,49.761,50.903,0,-1.142,8331.175
533,55.177,51.002,0,4.175,8327
534,57.052,50.348,0,6.704,8320.296
535,58.018,49.164,1.173,7.681,8312.615
536,58.637,45.788,4.847,8.002,8304.613
537,59.643,43.334,8.251,8.058,8296.555
538,59.759,42.434,10.437,6.888,8289.667
539,58.868,41.674,10.793,6.401,8283.266
540,58.516,40.692,9.492,8.332,8274.934
541,58.73,40.914,6.639,11.177,8263.757
542,62.868,40.93,2.943,18.995,8244.762
543,66.056,41.232,0.263,24.561,8220.201
544,67.692,40.142,0,27.55,8192.651
545,66.382,37.965,0,28.417,8164.234
546,64.945,35.703,0,29.242,8134.992
547,62.16,34.133,0,28.027,8106.965
548,57.783,30.486,0,27.297,8079.668
549,53.851,31.996,0,21.855,8057.813
550,52.31,33.262,0,19.048,8038.765
551,50.858,34.372,0,16.486,8022.279
552,48.741,35.801,0,12.94,8009.339
553,47.583,36.957,0,10.626,7998.713
554,45.854,40.679,0,5.175,7993.538
555,44.191,43.303,0,0.888,7992.65
556,48.22,44.793,0,3.427,7989.223
557,53.607,45.286,0,8.321,7980.902
558,55.492,45.608,0,9.884,7971.018
559,56.506,45.09,0.885,10.531,7960.487
560,57.164,41.168,3.571,12.425,7948.062
561,58.177,39.06,6.472,12.645,7935.417
562,58.303,35.76,8.469,14.074,7921.343
563,57.426,35.768,9.041,12.617,7908.726
564,57.056,37.053,7.762,12.241,7896.485
565,57.25,40.592,5.723,10.935,7885.55
566,61.351,42.449,2.92,15.982,7869.568
567,64.526,44.041,0.29,20.195,7849.373
568,66.183,45.163,0,21.02,7828.353
569,64.881,46.154,0,18.727,7809.626
570,63.451,46.34,0,17.111,7792.515
571,60.693,45.183,0,15.51,7777.005
572,56.405,38.577,0,17.828,7759.177
573,52.581,37.112,0,15.469,7743.708
574,53.141,35.783,0,17.358,7726.35
575,51.699,34.485,0,17.214,7709.136
576,49.595,32.998,0,16.597,7692.539
577,48.457,31.088,0,17.369,7675.17
578,46.741,29.11,0,17.631,7657.539
579,45.128,27.085,0,18.043,7639.496
580,49.221,25.151,0,24.07,7615.426
581,54.627,23.951,0,30.676,7584.75
582,56.505,23.195,0.001,33.309,7551.441
583,57.487,22.508,1.357,33.622,7517.819
584,58.121,18.929,4.863,34.329,7483.49
585,59.129,18.718,8.253,32.158,7451.332
586,59.248,19.515,10.458,29.275,7422.057
587,58.362,21.261,10.864,26.237,7395.82
588,58.005,23.772,8.788,25.445,7370.375
589,58.212,26.566,6.212,25.434,7344.941
590,62.337,29.642,3.14,29.555,7315.386
591,65.519,32.454,0.343,32.722,7282.664
592,67.165,35.795,0,31.37,7251.294
593,65.858,38.284,0,27.574,7223.72
594,64.424,39.93,0,24.494,7199.226
595,61.649,41.137,0,20.512,7178.714
596,57.301,43.76,0,13.541,7165.173
597,53.41,45.882,0,7.528,7157.645
598,49.118,47.755,0,1.363,7156.282
599,47.632,49.157,0,-1.525,7157.807
600,45.48,51.258,0,-5.778,7163.585
601,44.264,53.24,0,-8.976,7172.561
602,42.502,55.425,0,-12.923,7185.484
603,40.706,57.135,0,-16.429,7201.913
604,44.561,58.278,0,-13.717,7215.63
605,49.884,59.144,0,-9.26,7224.89
606,51.791,59.398,0,-7.607,7232.497
607,52.895,58.905,0.673,-6.683,7239.18
608,53.62,56.935,2.304,-5.619,7244.799
609,54.641,56.996,4.564,-6.919,7251.718
610,54.784,56.774,6.218,-8.208,7259.926
611,53.934,56.753,6.49,-9.309,7269.235
612,53.534,56.045,5.541,-8.052,7277.287
613,53.689,56.601,4.4,-7.312,7284.599
614,57.725,55.786,2.032,-0.093,7284.692
615,60.875,55.12,0.224,5.531,7279.161
616,62.564,53.989,0,8.575,7270.586
617,61.283,52.926,0,8.357,7262.229
618,59.861,51.253,0,8.608,7253.621
619,57.152,50.128,0,7.024,7246.597
620,53.025,52.232,0,0.793,7245.804
621,49.393,50.632,0,-1.239,7247.043
